individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Mirabell + / DER AN910 (eobs 3907),2018-12-21,15.591010093688965,17.3378,12.625153,2.095820426940918,33.854248046875,1027.553955078125,1031.02392578125,0.0,0.06633817404508591,350.2106628417969,13,11.120202957177828,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-22,15.946578025817871,18.146393,13.028961,2.6310834884643555,43.601661682128906,1025.482177734375,1028.9315185546875,0.0,0.48567017912864685,297.8077392578125,25,11.013260072987656,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-23,15.55492115020752,18.172516,11.3229065,1.8438993692398071,111.96863555908203,1023.3063354492188,1028.4091796875,0.0,0.426268070936203,187.68081665039062,21,11.337339211489137,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-12-24,14.932875633239746,16.50528,11.649567,1.4604160785675049,131.49722290039062,1021.9951782226562,1025.44287109375,0.0,1.0,168.64736938476562,23,10.593191756319923,0.3388888888888889
Mirabell + / DER AN910 (eobs 3907),2018-12-25,13.803619384765625,15.999176,11.608063,1.3915362358093262,175.88194274902344,1022.7049560546875,1026.1624755859375,0.0,0.9752349853515625,155.7841033935547,2,10.743847521146684,0.01138888888888889
Mirabell + / DER AN910 (eobs 3907),2018-12-26,13.574470520019531,16.04483,9.205719,1.515234112739563,129.6399383544922,1024.4317626953125,1027.909912109375,0.002861023,0.5643344521522522,210.74224853515625,27,10.68838639968001,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-12-27,13.561666488647461,15.625153,9.95816,0.9216731786727905,123.34146881103516,1023.5057373046875,1026.9932861328125,0.0,0.547393798828125,223.03323364257812,26,10.976300786996099,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-28,13.505193710327148,15.609039,9.840485,2.2037160396575928,51.245948791503906,1021.9645385742188,1025.43212890625,0.0,0.01186981238424778,344.74871826171875,20,11.025729005790838,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-29,14.641987800598145,15.976715,12.422028,4.387784004211426,44.526973724365234,1020.8469848632812,1024.31396484375,0.0,0.18590115010738373,592.8885498046875,23,10.931348311486891,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-30,16.603397369384766,18.463531,13.150543,3.8100621700286865,65.0398178100586,1021.9600830078125,1025.4073486328125,0.0,0.0,677.5648803710938,28,10.757181624959186,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-31,15.103912353515625,17.338043,12.8697815,3.182854652404785,46.98577880859375,1024.87158203125,1028.330322265625,0.0,0.0,383.56634521484375,2,10.777248122110038,0.01138888888888889
